tag_index,epc,antenna_count,A1,A2,A3,A4,A5,A6,A7,A8
1,E280689400004031D641AC9D,7,1,1,1,0,1,1,1,1
2,E280689400004031D641B49D,6,0,1,1,0,1,1,1,1
3,E280689400004031D641B89D,6,1,0,1,1,0,1,1,1
4,E280689400004031D641C09D,5,0,0,1,1,1,0,1,1
5,E280689400004031D641CC9D,8,1,1,1,1,1,1,1,1
6,E280689400004031D641D49D,8,1,1,1,1,1,1,1,1
7,E280689400004031D641D89D,7,1,1,1,0,1,1,1,1
8,E280689400004031D641E49D,7,1,1,1,1,1,0,1,1
9,E280689400004031D641E89D,5,1,1,0,1,1,0,0,1
10,E280689400004031D641F09D,5,0,1,0,1,1,0,1,1
11,E280689400004031D642009D,7,1,1,1,1,1,0,1,1
12,E280689400004031D6420C9D,6,1,1,1,1,0,1,1,0
13,E280689400004031D642149D,6,0,1,1,1,1,0,1,1
14,E280689400004031D642189D,5,1,1,1,0,0,0,1,1
15,E280689400004031D642249D,7,1,1,1,1,1,1,0,1
16,E280689400004031D642289D,6,1,1,1,1,0,0,1,1
17,E280689400004031D642309D,7,1,1,1,1,1,0,1,1
18,E280689400004031D6423C9D,8,1,1,1,1,1,1,1,1
19,E280689400004031D642449D,6,1,1,1,1,1,1,0,0
20,E280689400004031D642509D,5,1,1,1,1,0,0,0,1
21,E280689400004031D6425C9D,4,1,1,1,1,0,0,0,0
22,E280689400004031D642609D,3,1,1,0,1,0,0,0,0
23,E280689400004031D6426C9D,6,1,1,0,1,1,0,1,1
24,E280689400004031D642749D,5,1,1,0,1,1,0,0,1
25,E280689400004031D642789D,5,1,1,1,1,0,0,0,1
26,E280689400004031D642849D,6,1,1,1,1,1,0,1,0
27,E280689400004031D642889D,7,1,1,1,1,1,0,1,1
28,E280689400004031D642909D,3,1,1,1,0,0,0,0,0
29,E280689400005031D641A89D,6,0,0,1,1,1,1,1,1
30,E280689400005031D641B09D,7,1,1,1,0,1,1,1,1
31,E280689400005031D641BC9D,5,0,0,1,1,1,0,1,1
32,E280689400005031D641C49D,8,1,1,1,1,1,1,1,1
33,E280689400005031D641C89D,8,1,1,1,1,1,1,1,1
34,E280689400005031D641D09D,5,0,0,1,1,0,1,1,1
35,E280689400005031D641DC9D,7,1,1,1,1,0,1,1,1
36,E280689400005031D641E09D,7,0,1,1,1,1,1,1,1
37,E280689400005031D641EC9D,6,1,1,1,1,1,0,1,0
38,E280689400005031D641F49D,4,0,0,0,1,1,1,1,0
39,E280689400005031D641F89D,6,1,1,1,1,1,0,1,0
40,E280689400005031D642049D,6,0,1,1,1,1,1,1,0
41,E280689400005031D642089D,7,1,1,1,1,0,1,1,1
42,E280689400005031D642109D,7,1,1,1,1,0,1,1,1
43,E280689400005031D6421C9D,8,1,1,1,1,1,1,1,1
44,E280689400005031D642209D,6,1,1,1,1,1,0,1,0
45,E280689400005031D6422C9D,8,1,1,1,1,1,1,1,1
46,E280689400005031D642349D,7,0,1,1,1,1,1,1,1
47,E280689400005031D642389D,7,1,1,1,1,1,0,1,1
48,E280689400005031D642409D,8,1,1,1,1,1,1,1,1
49,E280689400005031D6424C9D,8,1,1,1,1,1,1,1,1
50,E280689400005031D642549D,7,1,1,1,1,1,0,1,1
51,E280689400005031D642589D,5,1,1,1,1,0,0,1,0
52,E280689400005031D642649D,5,1,1,1,1,1,0,0,0
53,E280689400005031D642689D,8,1,1,1,1,1,1,1,1
54,E280689400005031D642709D,6,1,1,1,1,0,0,1,1
55,E280689400005031D642809D,6,1,1,1,1,0,0,1,1
56,E280689400005031D6428C9D,4,1,1,1,1,0,0,0,0
57,E280689400005031D642949D,7,1,1,1,1,0,1,1,1
58,E280689400005031D642989D,8,1,1,1,1,1,1,1,1
59,E280689400005031D642A89D,5,1,1,1,0,0,0,1,1
